study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_title	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias
PRJNA375065	SAMN06344395	SRX2577164	SRR5273150	408170	human gut metagenome	Microbiota in Anorexia Nervosa	a2e7b724d0112a53d524083d8fc8284a;a5fb0f218c68f244982e9980f2baef9e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273150/SRR5273150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273150/SRR5273150_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273150/SRR5273150_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273150/SRR5273150_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/000/SRR5273150	CTR15
PRJNA375065	SAMN06344394	SRX2577165	SRR5273151	408170	human gut metagenome	Microbiota in Anorexia Nervosa	ac06521cda34775b959c77bb4ad16895;a9431f70a376e382337f82d5b7e897db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273151/SRR5273151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273151/SRR5273151_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273151/SRR5273151_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273151/SRR5273151_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/001/SRR5273151	CTR14
PRJNA375065	SAMN06344393	SRX2577166	SRR5273152	408170	human gut metagenome	Microbiota in Anorexia Nervosa	294fb2409c8b7464d55c6855cf84d3d2;a15f7277ede636887f1f7b20ad94f53f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273152/SRR5273152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273152/SRR5273152_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273152/SRR5273152_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273152/SRR5273152_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/002/SRR5273152	CTR13
PRJNA375065	SAMN06344392	SRX2577167	SRR5273153	408170	human gut metagenome	Microbiota in Anorexia Nervosa	fd8aeb0ba5358a9f0f8ac22d91978371;8038b571b1818de00fce7a251023f443	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273153/SRR5273153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273153/SRR5273153_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273153/SRR5273153_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273153/SRR5273153_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/003/SRR5273153	CTR12
PRJNA375065	SAMN06344391	SRX2577168	SRR5273154	408170	human gut metagenome	Microbiota in Anorexia Nervosa	dc704399563e323cf00ae267cf4c6b6e;4bccb4c52fd77979a21b5ece4a3d82b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273154/SRR5273154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273154/SRR5273154_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273154/SRR5273154_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273154/SRR5273154_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/004/SRR5273154	CTR11
PRJNA375065	SAMN06344390	SRX2577169	SRR5273155	408170	human gut metagenome	Microbiota in Anorexia Nervosa	50b0ec60b59cf4663eb7049dfae54135;2e9f8282a557f134d5487c77cf1affef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273155/SRR5273155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273155/SRR5273155_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273155/SRR5273155_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273155/SRR5273155_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/005/SRR5273155	CTR10
PRJNA375065	SAMN06344389	SRX2577170	SRR5273156	408170	human gut metagenome	Microbiota in Anorexia Nervosa	d3609356a062059b69622c237e320f7d;956803a8b6b24c036967e0621550dbdc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273156/SRR5273156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273156/SRR5273156_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273156/SRR5273156_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273156/SRR5273156_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/006/SRR5273156	CTR9
PRJNA375065	SAMN06344388	SRX2577171	SRR5273157	408170	human gut metagenome	Microbiota in Anorexia Nervosa	27aee7573a6a92a5dfa0768023d232a6;f8b09a78a778acee6439af5f0c83e7a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273157/SRR5273157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273157/SRR5273157_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273157/SRR5273157_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273157/SRR5273157_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/007/SRR5273157	CTR8
PRJNA375065	SAMN06344387	SRX2577172	SRR5273158	408170	human gut metagenome	Microbiota in Anorexia Nervosa	45256da69e522e84ace963c34dff7ce5;f43aee3c65d2eb43b57b8b8cb6e6ec38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273158/SRR5273158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273158/SRR5273158_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273158/SRR5273158_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273158/SRR5273158_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/008/SRR5273158	CTR7
PRJNA375065	SAMN06344386	SRX2577173	SRR5273159	408170	human gut metagenome	Microbiota in Anorexia Nervosa	16aa24bf49accb55a63ea5490fb243a1;70d77a2e33a43e457ad6e3b21abb8d8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273159/SRR5273159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273159/SRR5273159_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273159/SRR5273159_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273159/SRR5273159_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/009/SRR5273159	CTR6
